"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"	"k"	"vk"
"Ho65"	66	4532	382	315	0.039302661440066	0.3119	-0.0064	4299.40554184396	292.940069525414	4620.67765879088	105.693301435407	0.00120887261869962	0.311926965133072	0	"0/1/2/3/4"	"3169/971/340/330/37"	2.33333333333333	3.82089552238806
"Ho66"	67	4779	267	229	0.0343051118210863	0.3025	-0.0024	4302.7514328082	293.97853167009	4624.86043555339	86.5760572177114	0.00124833360713095	0.302501996805112	0	"0/1/2/3/4"	"2871/1452/410/247/28"	2.29	3.07666666666667
"Ho67"	68	4322	317	267	0.0239594682937459	0.3012	-0.0027	4309.16079107821	293.535848111781	4630.62868392823	120.293888287964	-2.96061944780046e-05	0.301226846807583	0	"0/1/2/3/4/5"	"2790/1003/487/279/29/1"	2.02272727272727	2.40405968077724
"Ho68"	69	4274	369	300	0.0254263226934849	0.3091	-0.0052	4309.34905030179	293.855716137234	4630.75157262465	117.28836911821	-0.000291817443933251	0.309062090074333	0	"0/1/2/3/4"	"2855/1002/374/319/24"	2.38095238095238	2.78171428571429
"Ho69"	70	4035	289	233	0.025761480787254	0.302	0.0011	4308.83257000211	294.725553955389	4630.92862454616	84.5480811917879	1.92192831607318e-05	0.302036082474227	0	"0/1/2/3/4"	"2735/942/320/243/28"	2.2621359223301	3.35217970683419
"Ho70"	71	3958	248	205	0.0355993274081191	0.2976	0.0096	4304.65924409029	294.642163465796	4626.23745004713	95.4140714804952	0.00214334331544785	0.297576267115061	0	"0/1/2/3/4/5"	"2504/1071/346/222/19/1"	1.97115384615385	2.30013069454817
"Ho71"	72	3815	266	211	0.0350099354197715	0.3048	0.007	4299.35562876194	293.863742253684	4619.73638771678	116.689665164996	-0.000181214575126099	0.304788872329856	0	"0/1/2/3/4"	"2445/945/383/231/22"	1.88392857142857	1.72514478764479
"Ho72"	73	4196	294	236	0.0221908844765343	0.3018	0.0012	4291.78772595679	293.436828711341	4611.2816747101	97.1681439874809	0.000408534263726557	0.301809566787004	0	"0/1/2/3/4/5"	"2684/1042/411/265/29/1"	2.10714285714286	2.76319176319176
"Ho73"	74	4188	324	275	0.0214877884830831	0.2982	9e-04	4290.44603044575	293.444528810747	4609.57603630089	82.9395927394071	0.000463819367055862	0.298200761819404	0	"0/1/2/3/4/5"	"2841/920/376/285/40/1"	2.52293577981651	4.49252463472647
"Ho74"	75	4974	292	234	0.0219278033794163	0.3081	-0.0029	4289.02822824237	293.818977313256	4608.22931898457	69.4796823178593	-0.000602647298580838	0.308054915514593	0	"0/1/2/3/4/5"	"3308/1211/389/269/30/1"	2.31683168316832	4.71861386138614
"Ho75"	76	4865	314	256	0.0276899043155634	0.305	0.0021	4296.91796826064	293.794575228	4615.91691187135	95.8476248633334	0.000161522802378133	0.304952157781683	0	"0/1/2/3/4"	"2783/1502/521/278/37"	2.34862385321101	3.08103975535168
"Ho76"	77	4594	403	345	0.022636161166228	0.298	5e-04	4303.53006894008	294.043539132191	4622.52982324379	111.349428399916	0.00194510692892647	0.298023891476007	0	"0/1/2/3/4"	"3185/867/475/375/37"	2.63358778625954	3.83394010569583
"Ho77"	78	4333	373	310	0.0229700624596166	0.3047	0.0034	4307.06679214817	295.079626650933	4627.0330079295	97.3232482703017	0.00116549808345789	0.304650010768899	0	"0/1/2/3/4"	"2906/1098/275/321/43"	2.421875	4.24581692913386
"Ho78"	79	3985	224	184	0.0344567042456225	0.3037	-0.0012	4307.39730464204	295.872039512085	4628.02863135686	95.1809874140654	0.00191193520451582	0.303669944830895	0	"0/1/2/3/4/5"	"2202/1283/458/195/30/1"	2.06741573033708	1.76813074565884
"Ho79"	80	3566	343	293	0.0223114796579425	0.2997	-0.002	4302.99067663497	294.675220508264	4622.20375424604	117.388192914698	0.000735328346867625	0.299650168437419	0	"0/1/2/3/4/5"	"2387/721/401/325/22/3"	2.20300751879699	2.82968785600365
"Ho80"	81	3785	318	271	0.0228920118343195	0.3047	0.0016	4291.9029996308	295.195090685539	4611.68612870117	95.5730345562417	0.00107063642521021	0.304689349112426	0	"0/1/2/3/4"	"2711/793/237/280/35"	2.168	3.59251612903226
"Ho81"	82	4484	194	163	0.0451689261889391	0.3067	-0.0027	4284.81854548731	295.456673986129	4604.63824262651	74.0871463254548	0.00227428427655596	0.306655907036798	0	"0/1/2/3/4"	"2590/1417/433/173/34"	1.94047619047619	2.41810097532989
"Ho82"	83	4104	327	280	0.0243955291970803	0.3021	-0.0025	4287.14094646155	293.584277435762	4605.51903640467	104.000745823389	0.000928341385653342	0.302107664233577	0	"0/1/2/3/4/5"	"2716/876/464/303/24/1"	2.33333333333333	3.1484593837535
"Ho83"	84	4335	353	296	0.0160980349816454	0.3063	0.0014	4284.83720183222	293.946180977723	4603.33461959849	99.4951676581423	-0.00105716060421601	0.306335564672857	0	"0/1/2/3/4/5"	"3054/918/313/314/31/1"	2.52991452991453	3.63056292366637
"Ho84"	85	4194	251	209	0.0273677038382921	0.3031	0.0059	4285.42754905364	294.532761457665	4604.32455055078	56.0560193223097	-0.000389028689547821	0.303113786054963	0	"0/1/2/3/4"	"2340/1395/410/226/32"	2.54878048780488	5.50993676603433
"Ho85"	86	4798	318	254	0.0187747426761679	0.3009	0.0037	4284.32876457641	293.933009145892	4602.38377710606	94.0568759615779	-7.3533285601779e-05	0.300868962787015	0	"0/1/2/3/4"	"3229/953/555/291/24"	2.26785714285714	3.22490347490348
"Ho86"	87	4656	429	365	0.0132842063333997	0.303	0.0121	4289.66887603543	294.191906100458	4607.76275619316	97.8684012148782	0.000652854278816006	0.30299143596893	0	"0/1/2/3/4/5"	"3237/1031/320/390/42/1"	2.53472222222222	5.53724747474747
"Ho87"	88	3644	264	226	0.010968992248062	0.3073	-0.0039	4293.55179476291	295.258358865955	4612.73878608652	76.5987380627558	0.000966732436995521	0.307284237726098	0	"0/1/2/3/4/5"	"2194/1054/361/219/41/1"	2.13207547169811	3.84905660377358
"Ho88"	89	3555	274	224	0.0184704948399047	0.3015	-0.0057	4284.87237609765	294.861626318982	4603.30554900701	70.7257654434962	0.000264616985829358	0.301450119079121	0	"0/1/2/3/4/5"	"2342/789/382/245/19/2"	2.26262626262626	4.27726242011956
"Ho89"	90	3467	292	245	0.0147090517241379	0.3078	-0.0071	4275.01061420246	294.609595019003	4592.86985975709	132.316808377446	0.000915853947464074	0.307750538793103	0	"0/1/2/3/4"	"2354/802/264/268/24"	1.89922480620155	1.79445251937985
"Ho90"	91	4207	212	176	-0.00197353410905772	0.3088	-0.0075	4263.9689446006	294.580343291585	4581.57714275347	81.39973361471	-0.00111230512969807	0.3087588409765	0	"0/1/2/3/4"	"2700/1086/374/192/31"	1.89247311827957	2.37961664329126
"Ho91"	92	4141	291	248	0.0160742766005924	0.2999	0.0023	4263.33452925253	293.324752437748	4579.72560082842	96.4746821742246	0.00017990976086435	0.299931647300068	0	"0/1/2/3/4"	"2576/1084/426/269/34"	2.25454545454545	2.94378648874062
"Ho92"	93	4377	330	281	-0.00094461142121082	0.3035	0.0104	4261.96596253445	293.299283730709	4578.06696773158	112.284467634541	0.00162253613602603	0.303529411764706	0	"0/1/2/3/4/5"	"2993/921/407/302/34/1"	2.32231404958678	2.7202479338843
"Ho93"	94	4453	316	262	-0.00792152704135737	0.303	0.0045	4263.17071990575	293.650446380267	4579.4157663883	53.4804305382475	-0.000792860960881381	0.303020148462354	0	"0/1/2/3/4"	"2752/1241/399/286/37"	2.84782608695652	8.6359292881032
"Ho94"	95	3959	316	261	0.0156516587677725	0.3022	-0.0018	4265.10496888389	293.871557952506	4581.35326242244	64.6095954844779	-0.000762725580802814	0.302227488151659	0	"0/1/2/3/4/5"	"2685/847/378/283/26/1"	2.55882352941176	6.30838672102504
"Ho95"	96	4090	292	240	-0.0125057736720554	0.3051	0.0054	4261.63650101312	294.088337323902	4577.90000393983	103.806545297443	-0.000415043698571149	0.305127020785219	0	"0/1/2/3/4"	"2597/1084/357/264/28"	2.05128205128205	2.56631299734748
"Ho96"	97	4674	285	238	-0.0197882736156352	0.3042	0.0075	4259.77440653919	294.066429864528	4575.76914380818	98.4933218146676	-0.00128217510819773	0.304159201954397	0	"0/1/2/3/4"	"3078/1101/445/252/36"	2.16363636363636	2.68857381150959
"Ho97"	98	4451	344	295	0.0131373788453434	0.3001	8e-04	4263.66987827723	293.970019715639	4579.41756418305	109.082228452991	-0.000904752121497654	0.300058997050147	0	"0/1/2/3/4/5"	"2964/1061/372/316/32/1"	2.41803278688525	3.08826717246985
"Ho98"	99	3747	296	242	-0.0189521183253948	0.3059	0.0052	4265.5017458265	294.406931586274	4581.51944565362	102.555212023925	0.00360128257100367	0.305903735271998	0	"0/1/2/3/4"	"2347/1001/359/248/34"	2.01666666666667	2.68879551820728
"Ho99"	100	3692	277	228	-0.0189795918367347	0.3056	0.0032	4259.54793754876	294.42293745175	4575.36359512032	81.9759120458432	0.00224257063690514	0.305622448979592	0	"0/1/2/3/4/5"	"2412/893/353/236/25/1"	2.3265306122449	3.3561960866821
"Ho100"	101	738	103	86	-0.00521844660194175	0.3006	0.0135	4253.01005270643	294.237865685333	4568.38425045417	78.7193587347426	0.00154282551092222	0.300631067961165	0	"0/1/2/3/4/5"	"322/299/105/90/7/1"	1.50877192982456	0.861528822055138
"Ho101"	102	724	80	64	-0.0396573604060914	0.3064	7e-04	4061.48158917338	288.92654247824	4376.3414648648	133.304544963835	0.00189308476202732	0.306395939086294	0	"0/1/2/3/4/6"	"527/103/84/67/6/1"	1.28	0.246530612244898
